游戏服务器,服务器名称,状态,负荷,内存,cpu,时间
陕西-宝鸡麻将-朋友场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,162,39.81,0,2020/7/26 18:23
陕西-延安麻将-朋友场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,305,45.16,0,2020/7/26 18:23
陕西-挖坑-朋友场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,2467,77.86,0,2020/7/26 18:23
陕西-挖坑-金币场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,1955,77.69,0,2020/7/26 18:23
陕西-捉老麻子-朋友场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,2651,106.71,0,2020/7/26 18:23
陕西-捉老麻子-金币场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,237,30.88,0,2020/7/26 18:23
陕西-榆林麻将-朋友场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,138,38.63,0,2020/7/26 18:23
陕西-汉中麻将-朋友场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,70,36.69,0,2020/7/26 18:23
陕西-渭南麻将-朋友场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,120,36.34,0,2020/7/26 18:23
陕西-红中麻将-朋友场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,1629,172.66,0,2020/7/26 18:23
陕西-西安麻将-朋友场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,2411,246.25,0,2020/7/26 18:23
陕西-西安麻将-朋友场2,Game-四川-云南-陕西-甘肃-宁夏01,已运行,1350,128.87,0,2020/7/26 18:23
陕西-西安麻将-金币场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,539,43.96,0,2020/7/26 18:23
陕西-铜川麻将-朋友场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,17,16.24,0,2020/7/26 18:23
黑龙江-七台河麻将-朋友场,Game-东北-贵州05,已运行,825,171.23,0,2020/7/26 18:23
黑龙江-三打一-朋友场,Game-东北-贵州05,已运行,1566,125.68,0,2020/7/26 18:23
黑龙江-三打一-金币场,Game-东北-贵州05,已运行,6743,344.65,0,2020/7/26 18:23
黑龙江-伊春麻将-朋友场,Game-东北-贵州05,已运行,9,47.04,0,2020/7/26 18:23
黑龙江-佳木斯麻将-朋友场,Game-东北-贵州05,已运行,184,91.43,0,2020/7/26 18:23
黑龙江-佳木斯麻将-金币场,Game-东北-贵州05,已运行,26,31.87,0,2020/7/26 18:23
黑龙江-加格达奇-朋友场,Game-东北-贵州05,已运行,8,46.61,0,2020/7/26 18:23
黑龙江-双鸭山麻将-朋友场,Game-东北-贵州05,已运行,204,148.76,0,2020/7/26 18:23
黑龙江-哈尔滨麻将-朋友场1,Game-东北-贵州05,已运行,1228,480.59,0,2020/7/26 18:23
黑龙江-哈尔滨麻将-朋友场2,Game-东北-贵州05,已运行,1225,497.7,0,2020/7/26 18:23
黑龙江-哈尔滨麻将-金币场,Game-东北-贵州05,已运行,577,79.18,0,2020/7/26 18:23
黑龙江-大庆麻将-朋友场,Game-东北-贵州05,已运行,645,458.6,0,2020/7/26 18:23
黑龙江-大庆麻将-金币场,Game-东北-贵州05,已运行,160,33.42,0,2020/7/26 18:23
黑龙江-明皇暗保-朋友场,Game-东北-贵州05,已运行,750,62.38,0,2020/7/26 18:23
黑龙江-牡丹江麻将-朋友场,Game-东北-贵州05,已运行,271,124.59,0,2020/7/26 18:23
黑龙江-绥化麻将-朋友场,Game-东北-贵州05,已运行,534,222.91,0,2020/7/26 18:23
黑龙江-鸡西麻将-朋友场,Game-东北-贵州05,已运行,251,114.33,0,2020/7/26 18:23
黑龙江-鹤岗麻将-朋友场,Game-东北-贵州05,已运行,142,56.87,0,2020/7/26 18:23
黑龙江-黑河麻将-朋友场,Game-东北-贵州05,已运行,64,54.92,0,2020/7/26 18:23
黑龙江-齐齐哈尔-朋友场,Game-东北-贵州05,已运行,926,465.59,0,2020/7/26 18:23
黑龙江-齐齐哈尔-金币场,Game-东北-贵州05,已运行,227,41.04,0,2020/7/26 18:23
