游戏服务器,服务器名称,状态,负荷,内存,cpu,时间
斗地主福利赛,Game-系统支持01,已运行,0,960.65,0,2020-12-21 19:32:32
斗地主福利赛2,Game-系统支持01,已运行,0,321.79,0,2020-12-21 19:32:32
斗地主福利赛3,Game-系统支持01,已运行,0,561.39,0,2020-12-21 19:32:32
斗地主线下赛,Game-系统支持01,已运行,0,15.58,0,2020-12-21 19:32:32
斗地主闯关服务器,Game-系统支持01,已运行,574,132.75,0,2020-12-21 19:32:32
江西-二七王-朋友场,Game-江西-福建01,已运行,0,481.52,0,2020-12-21 19:32:31
江西-二七王-金币场,Game-江西-福建01,已运行,11,147.48,0,2020-12-21 19:32:31
江西-南昌麻将-朋友场,Game-江西-福建01,已运行,0,309.76,0,2020-12-21 19:32:32
江西-南昌麻将-金币场,Game-江西-福建01,已运行,6,175.12,0,2020-12-21 19:32:32
河北-石家庄玩法-朋友场,Game-河南-河北-天津-北京01,已运行,51,76.86,0,2020-12-21 19:32:32
河北-石家庄玩法-金币场,Game-河南-河北-天津-北京01,已运行,60,23.91,0,2020-12-21 19:32:32
河南-郑州玩法-朋友场,Game-河南-河北-天津-北京01,已运行,24,89.02,0,2020-12-21 19:32:32
河南-郑州玩法-金币场,Game-河南-河北-天津-北京01,已运行,9,66.36,0,2020-12-21 19:32:32
浙江-双扣-朋友场,Game-江苏-安徽-浙江-上海01,已运行,0,138.02,0,2020-12-21 19:32:32
浙江-双扣-金币场,Game-江苏-安徽-浙江-上海01,已运行,1,51.68,0,2020-12-21 19:32:32
浙江-杭州麻将-朋友场,Game-江苏-安徽-浙江-上海01,已运行,4,139.9,0,2020-12-21 19:32:32
浙江-杭州麻将-金币场,Game-江苏-安徽-浙江-上海01,已运行,1,10.63,0,2020-12-21 19:32:32
海南-海南玩法-朋友场,Game-湖南-湖北-广东-广西-海南01,已运行,0,75.78,0,2020-12-21 19:32:31
海南-海南玩法-金币场,Game-湖南-湖北-广东-广西-海南01,已运行,0,25.47,0,2020-12-21 19:32:32
湖北-卡五星玩法-朋友场,Game-湖南-湖北-广东-广西-海南01,已运行,0,239.91,0,2020-12-21 19:32:31
湖北-卡五星玩法-金币场,Game-湖南-湖北-广东-广西-海南01,已运行,0,36.04,0,2020-12-21 19:32:31
湖南-转转玩法-金币场,Game-湖南-湖北-广东-广西-海南01,已运行,0,26.8,0,2020-12-21 19:32:32
湖南-长沙麻将-朋友场,Game-湖南-湖北-广东-广西-海南01,已运行,10,223.55,0,2020-12-21 19:32:32
湖南-长沙麻将-金币场,Game-湖南-湖北-广东-广西-海南01,已运行,0,26.82,0,2020-12-21 19:32:32
甘肃-黑三风-朋友场,Game-四川-云南-陕西-甘肃-宁夏01,已运行,4,163.54,0,2020-12-21 19:32:32
甘肃-黑三风-金币场,Game-四川-云南-陕西-甘肃-宁夏01,已运行,0,16.62,0,2020-12-21 19:32:32
福建-福州麻将-朋友场,Game-江西-福建01,已运行,7,173.78,0,2020-12-21 19:32:31
福建-福州麻将-金币场,Game-江西-福建01,已运行,0,18.3,0,2020-12-21 19:32:31
血流成河,Game-系统支持01,已运行,505,58.81,0,2020-12-21 19:32:32
血流成河csJX,Game-系统支持01,已运行,98,429.11,0,2020-12-21 19:32:32
贵州-三丁拐-朋友场,Game-东北-贵州02,已运行,0,323.66,0,2020-12-21 19:32:32
贵州-三丁拐-金币场,Game-东北-贵州02,已运行,0,50.46,0,2020-12-21 19:32:32
贵州-二丁拐-朋友场,Game-东北-贵州02,已运行,5,321.97,0,2020-12-21 19:32:32
贵州-二丁拐-金币场,Game-东北-贵州02,已运行,0,51.19,0,2020-12-21 19:32:32
贵州-捉鸡麻将-朋友场,Game-东北-贵州02,已运行,0,520.03,0,2020-12-21 19:32:32
贵州-捉鸡麻将-金币场,Game-东北-贵州02,已运行,0,184.78,0,2020-12-21 19:32:32
贵州-闷胡血流-朋友场,Game-东北-贵州02,已运行,1,1110.89,0,2020-12-21 19:32:32
跑得快friJX,Game-系统支持01,已运行,46,201.05,0,2020-12-21 19:32:32
跑得快pt,Game-系统支持01,已运行,220,152.33,0,2020-12-21 19:32:32
辽宁-四冲-朋友场,Game-东北-贵州02,已运行,0,45.98,0,2020-12-21 19:32:32
辽宁-四冲-金币场,Game-东北-贵州02,已运行,0,116.8,0,2020-12-21 19:32:32
辽宁-大连穷胡-朋友场,Game-东北-贵州02,已运行,12,97.02,0,2020-12-21 19:32:32
辽宁-大连穷胡-金币场,Game-东北-贵州02,已运行,0,19.16,0,2020-12-21 19:32:32
辽宁-打滚子-朋友场,Game-东北-贵州02,已运行,0,46.19,0,2020-12-21 19:32:32
辽宁-打滚子-金币场,Game-东北-贵州02,已运行,0,46.04,0,2020-12-21 19:32:32
辽宁-沈阳麻将-朋友场,Game-东北-贵州02,已运行,25,106.29,0,2020-12-21 19:32:32
辽宁-沈阳麻将-金币场,Game-东北-贵州02,已运行,40,30.22,0,2020-12-21 19:32:32
通用-全国红中-金币场1,Game-系统支持01,已运行,82,32.84,0,2020-12-21 19:32:32
陕西-挖坑-朋友场,Game-四川-云南-陕西-甘肃-宁夏01,已运行,1,245.57,0,2020-12-21 19:32:32
陕西-挖坑-金币场,Game-四川-云南-陕西-甘肃-宁夏01,已运行,0,23.05,0,2020-12-21 19:32:32
龙江-三打一-朋友场,Game-东北-贵州02,已运行,21,334.14,0,2020-12-21 19:32:32
龙江-三打一-金币场,Game-东北-贵州02,已运行,2188,176.85,0,2020-12-21 19:32:32
龙江-哈尔滨麻将-朋友场,Game-东北-贵州02,已运行,27,101.11,0,2020-12-21 19:32:32
龙江-哈尔滨麻将-金币场,Game-东北-贵州02,已运行,1,44.1,0,2020-12-21 19:32:32
龙江-大庆麻将-朋友场,Game-东北-贵州02,已运行,6,99.98,0,2020-12-21 19:32:32
龙江-大庆麻将-金币场,Game-东北-贵州02,已运行,0,43.66,0,2020-12-21 19:32:32
