游戏服务器,所属游戏,文件夹,启动程序,配置文件
,吉林红十new,D:\Games_通用地区_金币场_扑克,D:\Games_通用地区_金币场_扑克\JiLinHongShiServer.exe,D:\Games_通用地区_金币场_扑克\吉林红十.xml
,三打一new,D:\Games_通用地区_金币场_扑克,D:\Games_通用地区_金币场_扑克\SanDaYiServer.exe,D:\Games_通用地区_金币场_扑克\三打一.xml
,填大坑new,D:\Games_通用地区_金币场_扑克,D:\Games_通用地区_金币场_扑克\TianDaKengServer.exe,D:\Games_通用地区_金币场_扑克\填大坑.xml
,填大坑newcsJX,D:\Games_通用地区_朋友场_扑克,D:\Games_通用地区_朋友场_扑克\TianDaKengServer.exe,D:\Games_通用地区_朋友场_扑克\填大坑.xml
,二人斗地主pt,D:\Games_通用地区_金币场_扑克,D:\Games_通用地区_金币场_扑克\ErRenDouDiZhu.exe,D:\Games_通用地区_金币场_扑克\二人斗地主.xml
,三人斗地主pt,D:\Games_通用地区_金币场_扑克,D:\Games_通用地区_金币场_扑克\DouDiZhuServer.exe,D:\Games_通用地区_金币场_扑克\斗地主.xml
,血流成河,D:\Games_通用地区_金币场_扑克,D:\Games_通用地区_金币场_扑克\XueLiuChengHe.exe,D:\Games_通用地区_金币场_扑克\血流成河.xml
,血流成河csJX,D:\Games_通用地区_朋友场_扑克,D:\Games_通用地区_朋友场_扑克\XueLiuChengHe.exe,D:\Games_通用地区_朋友场_扑克\血流成河.xml
,升级朋友场,D:\Games_通用地区_朋友场_扑克,D:\Games_通用地区_朋友场_扑克\shengjiServer.exe,D:\Games_通用地区_朋友场_扑克\升级朋友场.xml
,东北刨幺newJX,D:\Games_通用地区_朋友场_扑克,D:\Games_通用地区_朋友场_扑克\DongBeiPaoYaoServer.exe,D:\Games_通用地区_朋友场_扑克\东北刨幺.xml
,三人斗地主friJX,D:\Games_通用地区_朋友场_扑克,D:\Games_通用地区_朋友场_扑克\DouDiZhuServer.exe,D:\Games_通用地区_朋友场_扑克\斗地主.xml
,二人斗地主朋友场,D:\Games_通用地区_朋友场_扑克,D:\Games_通用地区_朋友场_扑克\ErRenDouDiZhu.exe,D:\Games_通用地区_朋友场_扑克\二人斗地主.xml
,干瞪眼fri,D:\Games_通用地区_朋友场_扑克,D:\Games_通用地区_朋友场_扑克\GanDengYanServer.exe,D:\Games_通用地区_朋友场_扑克\干瞪眼.xml
,跑得快friJX,D:\Games_通用地区_朋友场_扑克,D:\Games_通用地区_朋友场_扑克\PaoDeKuaiServer.exe,D:\Games_通用地区_朋友场_扑克\跑得快.xml
,三打一newcsJX,D:\Games_通用地区_朋友场_扑克,D:\Games_通用地区_朋友场_扑克\SanDaYiServer.exe,D:\Games_通用地区_朋友场_扑克\三打一.xml
,跑得快pt,D:\Games_通用地区_金币场_扑克,D:\Games_通用地区_金币场_扑克\PaoDeKuaiServer.exe,D:\Games_通用地区_金币场_扑克\跑得快.xml
,干瞪眼pt,D:\Games_通用地区_金币场_扑克,D:\Games_通用地区_金币场_扑克\GanDengYanServer.exe,D:\Games_通用地区_金币场_扑克\干瞪眼.xml
,至尊二人麻将pt,D:\Games_通用地区_金币场_扑克,D:\Games_通用地区_金币场_扑克\GBErRenMaJiangServer.exe,D:\Games_通用地区_金币场_扑克\国标二人麻将.xml
,升级,D:\Games_通用地区_金币场_扑克,D:\Games_通用地区_金币场_扑克\shengjiServer.exe,D:\Games_通用地区_金币场_扑克\升级.xml
,斗地主福利赛双周四,D:\斗地主福利赛双周四,D:\斗地主福利赛双周四\DouDiZhuServer.exe,D:\斗地主福利赛双周四\斗地主福利赛.xml
,斗地主福利赛双周日,D:\斗地主福利赛双周日,D:\斗地主福利赛双周日\DouDiZhuServer.exe,D:\斗地主福利赛双周日\斗地主福利赛.xml
,斗地主福利赛双周六,D:\斗地主福利赛双周六,D:\斗地主福利赛双周六\DouDiZhuServer.exe,D:\斗地主福利赛双周六\斗地主福利赛.xml
,斗地主福利赛双周二,D:\斗地主福利赛双周二,D:\斗地主福利赛双周二\DouDiZhuServer.exe,D:\斗地主福利赛双周二\斗地主福利赛.xml
,斗地主福利赛单周四,D:\斗地主福利赛单周四,D:\斗地主福利赛单周四\DouDiZhuServer.exe,D:\斗地主福利赛单周四\斗地主福利赛.xml
,斗地主福利赛单周日,D:\斗地主福利赛单周日,D:\斗地主福利赛单周日\DouDiZhuServer.exe,D:\斗地主福利赛单周日\斗地主福利赛.xml
,斗地主福利赛单周六,D:\斗地主福利赛单周六,D:\斗地主福利赛单周六\DouDiZhuServer.exe,D:\斗地主福利赛单周六\斗地主福利赛.xml
,斗地主福利赛单周二,D:\斗地主福利赛单周二,D:\斗地主福利赛单周二\DouDiZhuServer.exe,D:\斗地主福利赛单周二\斗地主福利赛.xml
,斗地主闯关服务器,D:\斗地主闯关,D:\斗地主闯关\DouDiZhuServer.exe,D:\斗地主闯关\斗地主闯关.xml
,斗地主残局服务器,D:\斗地主残局,D:\斗地主残局\DouDiZhuCanJu.exe,D:\斗地主残局\斗地主残局.xml
,捕鱼JS大厅2,D:\捕鱼\JS捕鱼2,D:\捕鱼\JS捕鱼2\CatchFishServer.exe,D:\捕鱼\JS捕鱼2\捕鱼JS大厅4215.xml
,捕鱼1,D:\捕鱼\吉祥捕鱼1,D:\捕鱼\吉祥捕鱼1\CatchFishServer.exe,D:\捕鱼\吉祥捕鱼1\吉祥捕鱼.xml
,捕鱼2,D:\捕鱼\吉祥捕鱼2,D:\捕鱼\吉祥捕鱼2\CatchFishServer.exe,D:\捕鱼\吉祥捕鱼2\吉祥捕鱼.xml
,大厅地鼠-吉祥,D:\捕鱼\大厅地鼠_吉祥,D:\捕鱼\大厅地鼠_吉祥\dishuServer.exe,D:\捕鱼\大厅地鼠_吉祥\大厅地鼠.xml
,捕鱼JS大厅1,D:\捕鱼\JS捕鱼1,D:\捕鱼\JS捕鱼1\CatchFishServer.exe,D:\捕鱼\JS捕鱼1\捕鱼JS大厅4214.xml
,揭棋朋友场正式,D:\Games_通用地区_朋友场_棋类,D:\Games_通用地区_朋友场_棋类\ChessJie.exe,D:/Games_通用地区_朋友场_棋类/揭棋外网.xml
,翻翻棋朋友场正式,D:\Games_通用地区_朋友场_棋类,D:\Games_通用地区_朋友场_棋类\ChessFanFan.exe,D:/Games_通用地区_朋友场_棋类/翻翻棋外网.xml
,象棋朋友场正式,D:\Games_通用地区_朋友场_棋类,D:\Games_通用地区_朋友场_棋类\ChessClassic.exe,D:/Games_通用地区_朋友场_棋类/象棋外网.xml
,揭棋正式,D:\Games_通用地区_金币场_棋类,D:\Games_通用地区_金币场_棋类\ChessJie.exe,D:/Games_通用地区_金币场_棋类/揭棋外网.xml
,翻翻棋正式,D:\Games_通用地区_金币场_棋类,D:\Games_通用地区_金币场_棋类\ChessFanFan.exe,D:/Games_通用地区_金币场_棋类/翻翻棋外网.xml
,象棋正式,D:\Games_通用地区_金币场_棋类,D:\Games_通用地区_金币场_棋类\ChessClassic.exe,D:/Games_通用地区_金币场_棋类/象棋外网.xml
,象棋残棋正式,D:\Games_通用地区_金币场_棋类,D:\Games_通用地区_金币场_棋类\ChessCanQ.exe,D:/Games_通用地区_金币场_棋类/残棋外网.xml
,跑得快闯关服务器,D:\跑得快闯关,D:\跑得快闯关\PaoDeKuaiServer.exe,D:\跑得快闯关\跑得快闯关服务器.xml
,填大坑-免费,D:\Games_通用地区_朋友场_扑克_免费,D:\ames_通用地区_朋友场_扑克_免费\TianDaKengServer.exe,D:\Games_通用地区_朋友场_扑克_免费\填大坑免费.xml
,干瞪眼-免费,D:\Games_通用地区_朋友场_扑克_免费,D:\Games_通用地区_朋友场_扑克_免费_免费\GanDengYanServer.exe,D:\Games_通用地区_朋友场_扑克_免费\干瞪眼免费.xml
,跑得快免费,D:\Games_通用地区_朋友场_扑克_免费,D:\Games_通用地区_朋友场_扑克_免费_免费\PaoDeKuaiServer.exe,D:\Games_通用地区_朋友场_扑克_免费\跑得快免费.xml
,三人斗地主=免费,D:\Games_通用地区_朋友场_扑克_免费,D:\Games_通用地区_朋友场_扑克_免费_免费\DouDiZhuServer.exe,D:\Games_通用地区_朋友场_扑克_免费\斗地主免费.xml
,升级-免费,D:\Games_通用地区_朋友场_扑克_免费,D:\Games_通用地区_朋友场_扑克_免费\shengjiServer.exe,D:\Games_通用地区_朋友场_扑克_免费\升级朋友场免费.xml
,二人斗地主-免费,D:\Games_通用地区_朋友场_扑克_免费,D:\Games_通用地区_朋友场_扑克_免费\ErRenDouDiZhu.exe,D:\Games_通用地区_朋友场_扑克_免费\二人斗地主免费.xml
,刨幺-免费,D:\Games_通用地区_朋友场_扑克_免费,D:\Games_通用地区_朋友场_扑克_免费\DongBeiPaoYaoServer.exe,D:\Games_通用地区_朋友场_扑克_免费\东北刨幺免费.xml
,红十-免费,D:\Games_通用地区_朋友场_扑克_免费,D:\Games_通用地区_朋友场_扑克_免费\JiLinHongShiServer.exe,D:\Games_通用地区_朋友场_扑克_免费\吉林红十免费.xml
,血流成河-免费,D:\Games_通用地区_朋友场_扑克_免费,D:\Games_通用地区_朋友场_扑克_免费\XueLiuChengHe.exe,D:\Games_通用地区_朋友场_扑克_免费\血流成河免费.xml
,二人斗地主PC_朋友场,D:\二人斗地主PC_朋友场,D:\二人斗地主PC_朋友场\ErRenDouDiZhu.exe,D:\二人斗地主PC_朋友场\二人斗地主PC_朋友场.xml
,二人斗地主PC_pt,D:\二人斗地主PC_pt,D:\二人斗地主PC_pt\ErRenDouDiZhu.exe,D:\二人斗地主PC_pt\二人斗地主PC_pt.xml
,东北刨幺PC,D:\东北刨幺PC,D:\东北刨幺PC\DongBeiPaoYaoServer.exe,D:/东北刨幺PC/东北刨幺.xml
,二人斗地主pt2,D:\二人斗地主pt2,D:\二人斗地主pt2\ErRenDouDiZhu.exe,D:/二人斗地主pt2/二人斗地主pt2.xml
,二人斗地主朋友场2,D:\二人斗地主朋友场2,D:\二人斗地主朋友场2\ErRenDouDiZhu.exe,D:/二人斗地主朋友场2/二人斗地主朋友场2.xml
