游戏服务器,所属游戏,文件夹,启动程序,配置文件
,LN营口麻将newcs,D:\Game_辽宁_朋友场new,D:\Game_辽宁_朋友场new\YingKouMaJiangServer.exe,D:\Game_辽宁_朋友场new\营口麻将.xml
,LN铁岭麻将newcs,D:\Game_辽宁_朋友场new,D:\Game_辽宁_朋友场new\TieLingMaJiangServer.exe,D:\Game_辽宁_朋友场new\铁岭麻将.xml
,LN盘锦麻将newcs,D:\Game_辽宁_朋友场new,D:\Game_辽宁_朋友场new\PanJinMaJiangServer.exe,D:\Game_辽宁_朋友场new\盘锦麻将.xml
,LN辽阳麻将newcs,D:\Game_辽宁_朋友场new,D:\Game_辽宁_朋友场new\LiaoYangMaJiangServer.exe,D:\Game_辽宁_朋友场new\辽阳麻将.xml
,LN辽宁推倒胡newcs,D:\Game_辽宁_朋友场new,D:\Game_辽宁_朋友场new\LiaoNingTuiDaoHuServer.exe,D:\Game_辽宁_朋友场new\辽宁推倒胡.xml
,LN辽宁晃晃newcs,D:\Game_辽宁_朋友场new,D:\Game_辽宁_朋友场new\LiaoNingHuangHuang.exe,D:\Game_辽宁_朋友场new\辽宁晃晃.xml
,LN锦州五十Knewcs,D:\Game_辽宁扑克_朋友场new,D:\Game_辽宁扑克_朋友场new\WuShiKServer.exe,D:\Game_辽宁扑克_朋友场new\锦州五十K.xml
,LN海城麻将newcs,D:\Game_辽宁_朋友场new,D:\Game_辽宁_朋友场new\HaiChengMaJiangServer.exe,D:\Game_辽宁_朋友场new\海城麻将.xml
,LN阜新麻将newcs,D:\Game_辽宁_朋友场new,D:\Game_辽宁_朋友场new\FuXinMaJiangServer.exe,D:\Game_辽宁_朋友场new\阜新麻将.xml
,LN抚顺麻将newcs,D:\Game_辽宁_朋友场new,D:\Game_辽宁_朋友场new\FuShunMaJiangServer.exe,D:\Game_辽宁_朋友场new\抚顺麻将.xml
,LN丹东五狼腿newcs,D:\Game_辽宁扑克_朋友场new,D:\Game_辽宁扑克_朋友场new\DanDongWuLangTuiServer.exe,D:\Game_辽宁扑克_朋友场new\丹东五狼腿.xml
,LN丹东麻将newcs,D:\Game_辽宁_朋友场new,D:\Game_辽宁_朋友场new\DanDongMaJiangServer.exe,D:\Game_辽宁_朋友场new\丹东麻将.xml
,LN打滚子newcs,D:\Game_辽宁扑克_朋友场new,D:\Game_辽宁扑克_朋友场new\DaLianDaGunZiServer.exe,D:\Game_辽宁扑克_朋友场new\打滚子.xml
,LN昌图服务器newcs,D:\Game_辽宁_朋友场new,D:\Game_辽宁_朋友场new\ChangTuMaJiangServer.exe,D:\Game_辽宁_朋友场new\昌图麻将.xml
,LN本溪马队newcs,D:\Game_辽宁扑克_朋友场new,D:\Game_辽宁扑克_朋友场new\BenXiMaDuiServer.exe,D:\Game_辽宁扑克_朋友场new\本溪马队.xml
,LN本溪麻将newcs,D:\Game_辽宁_朋友场new,D:\Game_辽宁_朋友场new\BenXiMaJiangServer.exe,D:\Game_辽宁_朋友场new\本溪麻将.xml
,LJ伊春麻将newcsWL,D:\龙江_朋友场new,D:\龙江_朋友场new\YiChunMaJiangServer.exe,D:\龙江_朋友场new\伊春麻将.xml
,LJ绥化麻将newcsWL,D:\龙江_朋友场new,D:\龙江_朋友场new\SuiHuaMaJiangServer.exe,D:\龙江_朋友场new\绥化麻将.xml
,LJ双鸭山麻将newcsWL,D:\龙江_朋友场new,D:\龙江_朋友场new\ShuangYaShanMaJiangServer.exe,D:\龙江_朋友场new\双鸭山麻将.xml
,LJ齐齐哈尔麻将newcsWL,D:\龙江_朋友场new,D:\龙江_朋友场new\QiQiHaErMaJiangServer.exe,D:\龙江_朋友场new\齐齐哈尔麻将.xml
,LJ七台河麻将newcsWL,D:\龙江_朋友场new,D:\龙江_朋友场new\QiTaiHeMaJiangServer.exe,D:\龙江_朋友场new\七台河麻将.xml
,LJ牡丹江麻将newcsWL,D:\龙江_朋友场new,D:\龙江_朋友场new\MuDanJiangMaJiangServer.exe,D:\龙江_朋友场new\牡丹江麻将.xml
,LJ佳木斯麻将newcsWL,D:\龙江_朋友场new,D:\龙江_朋友场new\JiaMuSiMaJiangServer.exe,D:\龙江_朋友场new\佳木斯麻将.xml
,LJ加格达奇newcsWL,D:\龙江_朋友场new,D:\龙江_朋友场new\JiaGeDaQiMaJiangServer.exe,D:\龙江_朋友场new\加格达奇麻将.xml
,LJ鸡西麻将newcsWL,D:\龙江_朋友场new,D:\龙江_朋友场new\JiXiMaJiangServer.exe,D:\龙江_朋友场new\鸡西麻将.xml
,LJ黑河麻将newcsWL,D:\龙江_朋友场new,D:\龙江_朋友场new\HeiHeMaJiangServer.exe,D:\龙江_朋友场new\黑河麻将.xml
,LJ鹤岗麻将newcsWL,D:\龙江_朋友场new,D:\龙江_朋友场new\HeGangMaJiangServer.exe,D:\龙江_朋友场new\鹤岗麻将.xml
,LJ哈尔滨麻将newcsWL,D:\龙江_朋友场new,D:\龙江_朋友场new\HaErBinMaJiangServer.exe,D:\龙江_朋友场new\哈尔滨麻将.xml
,LJ大庆麻将newcsWL,D:\龙江_朋友场new,D:\龙江_朋友场new\DaQingMaJiangServer.exe,D:\龙江_朋友场new\大庆麻将.xml
,HUB宜城卡五星cs,D:\Game_湖北_朋友场new,D:\Game_湖北_朋友场new\YCKaWuXingMJServer.exe,D:\Game_湖北_朋友场new\宜城卡五星.xml
,HuB宜昌血流cs,D:\Game_湖北_朋友场new,D:\Game_湖北_朋友场new\YiChangMJServer.exe,D:\Game_湖北_朋友场new\宜昌血流麻将.xml
,HUB孝感卡五星cs,D:\Game_湖北_朋友场new,D:\Game_湖北_朋友场new\XGKaWuXingMJServer.exe,D:\Game_湖北_朋友场new\孝感卡五星.xml
,HuB襄阳卡五星cs,D:\Game_湖北_朋友场new,D:\Game_湖北_朋友场new\XYKaWuXingMJServer.exe,D:\Game_湖北_朋友场new\襄阳卡五星.xml
,HuB咸宁晃晃cs,D:\Game_湖北_朋友场new,D:\Game_湖北_朋友场new\XiNiServer.exe,D:\Game_湖北_朋友场new\咸宁晃晃.xml
,HuB仙桃赖晃cs,D:\Game_湖北_朋友场new,D:\Game_湖北_朋友场new\xtaoServer.exe,D:\Game_湖北_朋友场new\仙桃赖晃.xml
,HuB武汉麻将cs,D:\Game_湖北_朋友场new,D:\Game_湖北_朋友场new\WuHanMJServer.exe,D:\Game_湖北_朋友场new\武汉麻将.xml
,HuB天门晃晃cs,D:\Game_湖北_朋友场new,D:\Game_湖北_朋友场new\TianMenHuangHuangMJServer.exe,D:\Game_湖北_朋友场new\天门晃晃.xml
,HuB随州卡五星cs,D:\Game_湖北_朋友场new,D:\Game_湖北_朋友场new\SZKaWuXingMJServer.exe,D:\Game_湖北_朋友场new\随州卡五星.xml
,HUB十堰卡五星cs,D:\Game_湖北_朋友场new,D:\Game_湖北_朋友场new\SYKaWuXingMJServer.exe,D:\Game_湖北_朋友场new\十堰卡五星.xml
,HuB潜江晃晃cs,D:\Game_湖北_朋友场new,D:\Game_湖北_朋友场new\QJiangHHMJServer.exe,D:\Game_湖北_朋友场new\潜江晃晃.xml
,HuB卡五星cs,D:\Game_湖北_朋友场new,D:\Game_湖北_朋友场new\KaWuXingMaJiang.exe,D:\Game_湖北_朋友场new\卡五星.xml
,HuB荆州晃晃cs,D:\Game_湖北_朋友场new,D:\Game_湖北_朋友场new\JingZhouHuangHuangMJServer.exe,D:\Game_湖北_朋友场new\荆州晃晃.xml
,HuB荆门双开cs,D:\Game_湖北_朋友场new,D:\Game_湖北_朋友场new\JingMenSKMJServer.exe,D:\Game_湖北_朋友场new\荆门双开.xml
,HuB荆门晃晃cs,D:\Game_湖北_朋友场new,D:\Game_湖北_朋友场new\JingMenHHMJServer.exe,D:\Game_湖北_朋友场new\荆门晃晃.xml
,HuB黄石麻将cs,D:\Game_湖北_朋友场new,D:\Game_湖北_朋友场new\HuangShiMJServer.exe,D:\Game_湖北_朋友场new\黄石麻将.xml
,HuB黄冈麻将cs,D:\Game_湖北_朋友场new,D:\Game_湖北_朋友场new\hgangServer.exe,D:\Game_湖北_朋友场new\黄冈麻将.xml
,HuB恩施麻将cs,D:\Game_湖北_朋友场new,D:\Game_湖北_朋友场new\EnShiMJServer.exe,D:\Game_湖北_朋友场new\恩施麻将.xml
,HuB鄂州晃晃cs,D:\Game_湖北_朋友场new,D:\Game_湖北_朋友场new\EZhouHHMJServer.exe,D:\Game_湖北_朋友场new\鄂州晃晃.xml
,上海清混碰friWL,D:\上海_朋友场new,D:\上海_朋友场new\SHQingHunPengMJServer.exe,D:\上海_朋友场new\上海清混碰.xml
,三打一晋级赛,D:\三打一海选赛,D:\三打一海选赛\SanDaYiServer.exe,D:\三打一海选赛\三打一电视赛.xml
,LN沈阳麻将newcs2,D:\Game_辽宁_朋友场new,D:\Game_辽宁_朋友场new\ShenYangMaJiangServer.exe,D:\Game_辽宁_朋友场new\沈阳麻将2.xml
,LN沈阳麻将newcs,D:\Game_辽宁_朋友场new,D:\Game_辽宁_朋友场new\ShenYangMaJiangServer.exe,D:\Game_辽宁_朋友场new\沈阳麻将.xml
,LN鞍山麻将newcs2,D:\Game_辽宁_朋友场new,D:\Game_辽宁_朋友场new\AnShanMaJiangServer.exe,D:\Game_辽宁_朋友场new\鞍山麻将2.xml
,LN鞍山麻将newcs,D:\Game_辽宁_朋友场new,D:\Game_辽宁_朋友场new\AnShanMaJiangServer.exe,D:\Game_辽宁_朋友场new\鞍山麻将.xml
,HB张家口麻将newcs,D:\Game_河北_朋友场new,D:\Game_河北_朋友场new\ZhangJiaKouMJServer.exe,D:\Game_河北_朋友场new\张家口麻将.xml
,HB邢台麻将newcs,D:\Game_河北_朋友场new,D:\Game_河北_朋友场new\XingTaiMJServer.exe,D:\Game_河北_朋友场new\邢台麻将.xml
,HB唐山麻将newcs,D:\Game_河北_朋友场new,D:\Game_河北_朋友场new\TangShanMJServer.exe,D:\Game_河北_朋友场new\唐山麻将.xml
,HB唐山打储newcs,D:\Game_河北_朋友场new,D:\Game_河北_朋友场new\TangShanDaChuServer.exe,D:\Game_河北_朋友场new\唐山打储.xml
,HB石家庄newcs,D:\Game_河北_朋友场new,D:\Game_河北_朋友场new\ShiJiaZhuangMJServer.exe,D:\Game_河北_朋友场new\石家庄麻将.xml
,齐齐哈尔保皇fr,D:\龙江_朋友场new,D:\龙江_朋友场new\QQBaoHuangServer.exe,D:\龙江_朋友场new\齐齐哈尔保皇fr.xml
,wl天津塘沽_newcs,D:\Game_北京天津海南_朋友场new,D:\Game_北京天津海南_朋友场new\TianJinTangGuMJServer.exe,D:\Game_北京天津海南_朋友场new\天津塘沽.xml
,LN四冲newcs,D:\Game_辽宁扑克_朋友场new,D:\Game_辽宁扑克_朋友场new\SiChongServer.exe,D:\Game_辽宁扑克_朋友场new\四冲.xml
,LN葫芦岛麻将newcs,D:\Game_辽宁_朋友场new,D:\Game_辽宁_朋友场new\HuLuDaoMaJiangServer.exe,D:\Game_辽宁_朋友场new\葫芦岛麻将.xml
,HB河北推倒胡newcs,D:\Game_河北_朋友场new,D:\Game_河北_朋友场new\TuiDaoHuMJServer.exe,D:\Game_河北_朋友场new\推倒胡.xml
,HB秦皇岛麻将newcs,D:\Game_河北_朋友场new,D:\Game_河北_朋友场new\QinHuangDaoServer.exe,D:\Game_河北_朋友场new\秦皇岛麻将.xml
,HB撸麻巧麻将newcs,D:\Game_河北_朋友场new,D:\Game_河北_朋友场new\LuMaQiaoMJServer.exe,D:\Game_河北_朋友场new\撸麻巧麻将.xml
,HB廊坊麻将newcs,D:\Game_河北_朋友场new,D:\Game_河北_朋友场new\LangFangMJServer.exe,D:\Game_河北_朋友场new\廊坊麻将.xml
,HB河北红中麻将newcs,D:\Game_河北_朋友场new,D:\Game_河北_朋友场new\HongZhongMJServer.exe,D:\Game_河北_朋友场new\红中麻将.xml
,HB衡水麻将newcs,D:\Game_河北_朋友场new,D:\Game_河北_朋友场new\HengShuiMJServer.exe,D:\Game_河北_朋友场new\衡水麻将.xml
,HB河北麻将newcs,D:\Game_河北_朋友场new,D:\Game_河北_朋友场new\HeBeiMJServer.exe,D:\Game_河北_朋友场new\河北麻将.xml
,HB邯郸麻将newcs,D:\Game_河北_朋友场new,D:\Game_河北_朋友场new\HanDanMJServer.exe,D:\Game_河北_朋友场new\邯郸麻将.xml
,HB承德麻将newcs,D:\Game_河北_朋友场new,D:\Game_河北_朋友场new\ChengDeServer.exe,D:\Game_河北_朋友场new\承德麻将.xml
,HB沧州麻将newcs,D:\Game_河北_朋友场new,D:\Game_河北_朋友场new\CangZhouMJServer.exe,D:\Game_河北_朋友场new\沧州麻将.xml
,HB保定麻将newcs,D:\Game_河北_朋友场new,D:\Game_河北_朋友场new\BaoDingMJServer.exe,D:\Game_河北_朋友场new\保定麻将.xml
,WL北京麻将,D:\Game_北京天津海南_普通场new,D:\Game_北京天津海南_普通场new\BeiJingMJServer.exe,D:\Game_北京天津海南_普通场new\北京麻将.xml
,WL海南麻将,D:\Game_北京天津海南_普通场new,D:\Game_北京天津海南_普通场new\HaiNanMaJiangServer.exe,D:\Game_北京天津海南_普通场new\海南麻将.xml
,WL天津麻将,D:\Game_北京天津海南_普通场new,D:\Game_北京天津海南_普通场new\TianJinMJServer.exe,D:\Game_北京天津海南_普通场new\天津麻将.xml
,三打一new,D:\龙江_普通场new,D:\龙江_朋友场new\SanDaYiServer.exe,D:\龙江_普通场new\三打一.xml
,HB保定麻将new,D:\Game_河北_普通场new,D:\Game_河北_普通场new\BaoDingMJServer.exe,D:\Game_河北_普通场new\保定麻将.xml
,LJ伊春麻将new,D:\龙江_普通场new,D:\龙江_普通场new\YiChunMaJiangServer.exe,D:\龙江_普通场new\伊春麻将.xml
,LJ双鸭山麻将new,D:\龙江_普通场new,D:\龙江_普通场new\ShuangYaShanMaJiangServer.exe,D:\龙江_普通场new\双鸭山麻将.xml
,LJ七台河麻将new,D:\龙江_普通场new,D:\龙江_普通场new\QiTaiHeMaJiangServer.exe,D:\龙江_普通场new\七台河麻将.xml
,LJ牡丹江麻将new,D:\龙江_普通场new,D:\龙江_普通场new\MuDanJiangMaJiangServer.exe,D:\龙江_普通场new\牡丹江麻将.xml
,LJ佳木斯麻将new,D:\龙江_普通场new,D:\龙江_普通场new\JiaMuSiMaJiangServer.exe,D:\龙江_普通场new\佳木斯麻将.xml
,LJ加格达奇new,D:\龙江_普通场new,D:\龙江_普通场new\JiaGeDaQiMaJiangServer.exe,D:\龙江_普通场new\加格达奇麻将.xml
,LJ黑河麻将new,D:\龙江_普通场new,D:\龙江_普通场new\HeiHeMaJiangServer.exe,D:\龙江_普通场new\黑河麻将.xml
,LJ鹤岗麻将new,D:\龙江_普通场new,D:\龙江_普通场new\HeGangMaJiangServer.exe,D:\龙江_普通场new\鹤岗麻将.xml
,HUB宜城卡五星,D:\Game_湖北_普通场new,D:\Game_湖北_普通场new\YCKaWuXingMJServer.exe,D:\Game_湖北_普通场new\宜城卡五星.xml
,HuB宜昌血流,D:\Game_湖北_普通场new,D:\Game_湖北_普通场new\YiChangMJServer.exe,D:\Game_湖北_普通场new\宜昌血流.xml
,HUB孝感卡五星,D:\Game_湖北_普通场new,D:\Game_湖北_普通场new\XGKaWuXingMJServer.exe,D:\Game_湖北_普通场new\孝感卡五星.xml
,HuB咸宁晃晃,D:\Game_湖北_普通场new,D:\Game_湖北_普通场new\XiNiServer.exe,D:\Game_湖北_普通场new\咸宁晃晃.xml
,HuB仙桃赖晃,D:\Game_湖北_普通场new,D:\Game_湖北_普通场new\xtaoServer.exe,D:\Game_湖北_普通场new\仙桃赖晃.xml
,HuB武汉麻将,D:\Game_湖北_普通场new,D:\Game_湖北_普通场new\WuHanMJServer.exe,D:\Game_湖北_普通场new\武汉麻将.xml
,HuB天门晃晃,D:\Game_湖北_普通场new,D:\Game_湖北_普通场new\TianMenHuangHuangMJServer.exe,D:\Game_湖北_普通场new\天门晃晃.xml
,HuB随州卡五星,D:\Game_湖北_普通场new,D:\Game_湖北_普通场new\SZKaWuXingMJServer.exe,D:\Game_湖北_普通场new\随州卡五星.xml
,HUB十堰卡五星,D:\Game_湖北_普通场new,D:\Game_湖北_普通场new\SYKaWuXingMJServer.exe,D:\Game_湖北_普通场new\十堰卡五星.xml
,HuB潜江晃晃,D:\Game_湖北_普通场new,D:\Game_湖北_普通场new\QJiangHHMJServer.exe,D:\Game_湖北_普通场new\潜江晃晃麻将.xml
,HuB卡五星,D:\Game_湖北_普通场new,D:\Game_湖北_普通场new\KaWuXingMaJiang.exe,D:\Game_湖北_普通场new\卡五星.xml
,HuB荆州晃晃,D:\Game_湖北_普通场new,D:\Game_湖北_普通场new\JingZhouHuangHuangMJServer.exe,D:\Game_湖北_普通场new\荆州晃晃.xml
,HuB荆门双开,D:\Game_湖北_普通场new,D:\Game_湖北_普通场new\JingMenSKMJServer.exe,D:\Game_湖北_普通场new\荆门双开.xml
,HuB荆门晃晃,D:\Game_湖北_普通场new,D:\Game_湖北_普通场new\JingMenHHMJServer.exe,D:\Game_湖北_普通场new\荆门晃晃.xml
,HuB黄石麻将,D:\Game_湖北_普通场new,D:\Game_湖北_普通场new\HuangShiMJServer.exe,D:\Game_湖北_普通场new\黄石麻将.xml
,HuB黄冈麻将,D:\Game_湖北_普通场new,D:\Game_湖北_普通场new\hgangServer.exe,D:\Game_湖北_普通场new\黄冈麻将.xml
,HuB恩施麻将,D:\Game_湖北_普通场new,D:\Game_湖北_普通场new\EnShiMJServer.exe,D:\Game_湖北_普通场new\恩施麻将.xml
,HuB鄂州晃晃,D:\Game_湖北_普通场new,D:\Game_湖北_普通场new\EZhouHHMJServer.exe,D:\Game_湖北_普通场new\鄂州晃晃.xml
,HB张家口麻将new,D:\Game_河北_普通场new,D:\Game_河北_普通场new\ZhangJiaKouMJServer.exe,D:\Game_河北_普通场new\张家口麻将.xml
,HB唐山麻将new,D:\Game_河北_普通场new,D:\Game_河北_普通场new\TangShanMJServer.exe,D:\Game_河北_普通场new\唐山麻将.xml
,HB唐山打储new,D:\Game_河北_普通场new,D:\Game_河北_普通场new\TangShanDaChuServer.exe,D:\Game_河北_普通场new\唐山打储.xml
,HB秦皇岛麻将new,D:\Game_河北_普通场new,D:\Game_河北_普通场new\QinHuangDaoServer.exe,D:\Game_河北_普通场new\秦皇岛麻将.xml
,HB撸麻巧麻将new,D:\Game_河北_普通场new,D:\Game_河北_普通场new\LuMaQiaoMJServer.exe,D:\Game_河北_普通场new\撸麻巧麻将.xml
,HB廊坊麻将new,D:\Game_河北_普通场new,D:\Game_河北_普通场new\LangFangMJServer.exe,D:\Game_河北_普通场new\廊坊麻将.xml
,HB衡水麻将new,D:\Game_河北_普通场new,D:\Game_河北_普通场new\HengShuiMJServer.exe,D:\Game_河北_普通场new\衡水麻将.xml
,HB河北推倒胡new,D:\Game_河北_普通场new,D:\Game_河北_普通场new\TuiDaoHuMJServer.exe,D:\Game_河北_普通场new\推倒湖.xml
,HB河北麻将new,D:\Game_河北_普通场new,D:\Game_河北_普通场new\HeBeiMJServer.exe,D:\Game_河北_普通场new\河北麻将.xml
,HB河北红中麻将new,D:\Game_河北_普通场new,D:\Game_河北_普通场new\HongZhongMJServer.exe,D:\Game_河北_普通场new\红中麻将.xml
,HB邯郸麻将new,D:\Game_河北_普通场new,D:\Game_河北_普通场new\HanDanMJServer.exe,D:\Game_河北_普通场new\邯郸麻将.xml
,HB承德麻将new,D:\Game_河北_普通场new,D:\Game_河北_普通场new\ChengDeServer.exe,D:\Game_河北_普通场new\承德麻将.xml
,HB沧州麻将new,D:\Game_河北_普通场new,D:\Game_河北_普通场new\CangZhouMJServer.exe,D:\Game_河北_普通场new\沧州麻将.xml
,HuB襄阳卡五星,D:\Game_湖北_普通场new,D:\Game_湖北_普通场new\XYKaWuXingMJServer.exe,D:\Game_湖北_普通场new\襄阳卡五星.xml
,LJ哈尔滨麻将new,D:\龙江_普通场new,D:\龙江_普通场new\HaErBinMaJiangServer.exe,D:\龙江_普通场new\哈尔滨麻将.xml
,HB邢台麻将new,D:\Game_河北_普通场new,D:\Game_河北_普通场new\XingTaiMJServer.exe,D:\Game_河北_普通场new\邢台麻将.xml
,HB石家庄new,D:\Game_河北_普通场new,D:\Game_河北_普通场new\ShiJiaZhuangMJServer.exe,D:\Game_河北_普通场new\石家庄麻将.xml
,wl天津塘沽_new,D:\Game_北京天津海南_普通场new,D:\Game_北京天津海南_普通场new\TianJinTangGuMJServer.exe,D:\Game_北京天津海南_普通场new\天津塘沽.xml
,wl天津三家拐_new,D:\Game_北京天津海南_普通场new,D:\Game_北京天津海南_普通场new\TianJinSGMJServer.exe,D:\Game_北京天津海南_普通场new\天津三家拐.xml
,wl天津混吊_new,D:\Game_北京天津海南_普通场new,D:\Game_北京天津海南_普通场new\TianJinHDMJServer.exe,D:\Game_北京天津海南_普通场new\天津混吊.xml
,wl天津刮大风_new,D:\Game_北京天津海南_普通场new,D:\Game_北京天津海南_普通场new\TianJinDFMJServer.exe,D:\Game_北京天津海南_普通场new\天津刮大风.xml
,LJ大庆麻将new,D:\龙江_普通场new,D:\龙江_普通场new\DaQingMaJiangServer.exe,D:\龙江_普通场new\大庆麻将.xml
,LJ鸡西麻将new,D:\龙江_普通场new,D:\龙江_普通场new\JiXiMaJiangServer.exe,D:\龙江_普通场new\鸡西麻将.xml
,LJ齐齐哈尔麻将new,D:\龙江_普通场new,D:\龙江_普通场new\QiQiHaErMaJiangServer.exe,D:\龙江_普通场new\齐齐哈尔麻将.xml
,拍分服务器,D:\Game_辽宁扑克_普通场new,D:\Game_辽宁扑克_普通场new\PaiFenServer.exe,D:\Game_辽宁扑克_普通场new\拍分.xml
,LN铁岭麻将new,D:\Game_辽宁_普通场new,D:\Game_辽宁_普通场new\TieLingMaJiangServer.exe,D:\Game_辽宁_普通场new\铁岭麻将.xml
,LN辽阳麻将new,D:\Game_辽宁_普通场new,D:\Game_辽宁_普通场new\LiaoYangMaJiangServer.exe,D:\Game_辽宁_普通场new\辽阳麻将.xml
,LN辽宁晃晃new,D:\Game_辽宁_普通场new,D:\Game_辽宁_普通场new\LiaoNingHuangHuang.exe,D:\Game_辽宁_普通场new\辽宁晃晃.xml
,LN辽宁推倒胡new,D:\Game_辽宁_普通场new,D:\Game_辽宁_普通场new\LiaoNingTuiDaoHuServer.exe,D:\Game_辽宁_普通场new\辽宁推倒胡.xml
,LN营口麻将new,D:\Game_辽宁_普通场new,D:\Game_辽宁_普通场new\YingKouMaJiangServer.exe,D:\Game_辽宁_普通场new\营口麻将.xml
,LN葫芦岛麻将new,D:\Game_辽宁_普通场new,D:\Game_辽宁_普通场new\HuLuDaoMaJiangServer.exe,D:\Game_辽宁_普通场new\葫芦岛麻将.xml
,LN阜新麻将new,D:\Game_辽宁_普通场new,D:\Game_辽宁_普通场new\FuXinMaJiangServer.exe,D:\Game_辽宁_普通场new\阜新麻将.xml
,LN朝阳麻将new,D:\Game_辽宁_普通场new,D:\Game_辽宁_普通场new\ChaoYangMaJiangServer.exe,D:\Game_辽宁_普通场new\朝阳麻将.xml
,LN本溪麻将new,D:\Game_辽宁_普通场new,D:\Game_辽宁_普通场new\BenXiMaJiangServer.exe,D:\Game_辽宁_普通场new\本溪麻将.xml
,LN海城麻将new,D:\Game_辽宁_普通场new,D:\Game_辽宁_普通场new\HaiChengMaJiangServer.exe,D:\Game_辽宁_普通场new\海城麻将.xml
,LN盘锦麻将new,D:\Game_辽宁_普通场new,D:\Game_辽宁_普通场new\PanJinMaJiangServer.exe,D:\Game_辽宁_普通场new\盘锦麻将.xml
,LN丹东麻将new,D:\Game_辽宁_普通场new,D:\Game_辽宁_普通场new\DanDongMaJiangServer.exe,D:\Game_辽宁_普通场new\丹东麻将.xml
,LN抚顺麻将new,D:\Game_辽宁_普通场new,D:\Game_辽宁_普通场new\FuShunMaJiangServer.exe,D:\Game_辽宁_普通场new\抚顺麻将.xml
,LN昌图服务器new,D:\Game_辽宁_普通场new,D:\Game_辽宁_普通场new\ChangTuMaJiangServer.exe,D:\Game_辽宁_普通场new\昌图麻将.xml
,LN鞍山麻将new,D:\Game_辽宁_普通场new,D:\Game_辽宁_普通场new\AnShanMaJiangServer.exe,D:\Game_辽宁_普通场new\鞍山麻将.xml
,LN沈阳麻将new,D:\Game_辽宁_普通场new,D:\Game_辽宁_普通场new\ShenYangMaJiangServer.exe,D:\Game_辽宁_普通场new\沈阳麻将.xml
,LN锦州麻将new,D:\Game_辽宁_普通场new,D:\Game_辽宁_普通场new\JinZhouMaJiangServer.exe,D:\Game_辽宁_普通场new\锦州麻将.xml
,LN锦州麻将newcs,D:\Game_辽宁_朋友场new,D:\Game_辽宁_朋友场new\JinZhouMaJiangServer.exe,D:\Game_辽宁_朋友场new\锦州麻将.xml
,LN朝阳麻将newcs,D:\Game_辽宁_朋友场new,D:\Game_辽宁_朋友场new\ChaoYangMaJiangServer.exe,D:\Game_辽宁_朋友场new\朝阳麻将.xml
,LN大连穷胡newcs,D:\Game_辽宁_朋友场new,D:\Game_辽宁_朋友场new\DaLianMaJiangServer.exe,D:\Game_辽宁_朋友场new\大连穷胡.xml
,LN大连穷胡new,D:\Game_辽宁_普通场new,D:\Game_辽宁_普通场new\DaLianMaJiangServer.exe,D:\Game_辽宁_普通场new\大连穷胡.xml
,LJ绥化麻将new,D:\龙江_普通场new,D:\龙江_普通场new\SuiHuaMaJiangServer.exe,D:\龙江_普通场new\绥化麻将.xml
,wl天津混吊_newcs,D:\Game_北京天津海南_朋友场new,D:\Game_北京天津海南_朋友场new\TianJinHDMJServer.exe,D:\Game_北京天津海南_朋友场new\天津混吊.xml
,wl天津刮大风_newcs,D:\Game_北京天津海南_朋友场new,D:\Game_北京天津海南_朋友场new\TianJinDFMJServer.exe,D:\Game_北京天津海南_朋友场new\天津刮大风.xml
,WL天津麻将cs,D:\Game_北京天津海南_朋友场new,D:\Game_北京天津海南_朋友场new\TianJinMJServer.exe,D:\Game_北京天津海南_朋友场new\天津麻将.xml
,LN锦州五十Knew,D:\Game_辽宁扑克_普通场new,D:\Game_辽宁扑克_普通场new\WuShiKServer.exe,D:\Game_辽宁扑克_普通场new\锦州五十K.xml
,LN本溪马队new,D:\Game_辽宁扑克_普通场new,D:\Game_辽宁扑克_普通场new\BenXiMaDuiServer.exe,D:\Game_辽宁扑克_普通场new\本溪马队.xml
,LN四冲new,D:\Game_辽宁扑克_普通场new,D:\Game_辽宁扑克_普通场new\SiChongServer.exe,D:\Game_辽宁扑克_普通场new\四冲.xml
,LN丹东五狼腿new,D:\Game_辽宁扑克_普通场new,D:\Game_辽宁扑克_普通场new\DanDongWuLangTuiServer.exe,D:\Game_辽宁扑克_普通场new\丹东五狼腿.xml
福建_广东_捕鱼组,GD二人雀神new,D:\Game_广东_普通场new,D:\Game_广东_普通场new\ErRenQueShenServer.exe,D:\Game_广东_普通场new\广东二人雀神普通场.xml
,GD广东推倒胡CS,D:\Game_广东_朋友场new,D:\Game_广东_朋友场new\TuiDaoHuMaJiangServer.exe,D:\Game_广东_朋友场new\广东推倒胡麻将朋友场.xml
,GD韶关麻将newcs,D:\Game_广东_朋友场new,D:\Game_广东_朋友场new\ShaoGuanMaJiangServer.exe,D:\Game_广东_朋友场new\广东韶关麻将朋友场.xml
,GD惠州庄newcs,D:\Game_广东_朋友场new,D:\Game_广东_朋友场new\HuiZhouZhuangMaJiangServer.exe,D:\Game_广东_朋友场new\广东惠州庄麻将朋友场.xml
,GD鸡平胡newcs,D:\Game_广东_朋友场new,D:\Game_广东_朋友场new\JiPingHuMaJiangServer.exe,D:\Game_广东_朋友场new\广东鸡平胡麻将朋友场.xml
